"ASV","s.Crohn's Disease","s.Healthy","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"d25d39f98872ae941cc61121d3c0d8e3",0,1,2,0.457905469889625,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_NK3B31_group",NA
"6a403960cabac26623171326c99f6c36",0,1,2,0.592321460199929,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Turicibacter",NA
"f08a7b965556dd84f1c9bb8f1e973533",0,1,2,0.488613004380296,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium",NA
"1446edc40fa70e5b5bca4d33a67f2a94",1,0,1,0.389146624226019,0.01,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Acidovorax",NA
"9ac026abc5cec1d41ee044c1b874386c",0,1,2,0.504505339314012,0.01,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia",NA
"f0ee86326610d8cf29bf4d38c45d69ab",0,1,2,0.606719576188154,0.005,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Senegalimassilia",NA
"25e6a5ade8a44a0c5e8c8ec7cb89a1b0",0,1,2,0.35921060405355,0.01,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Actinobacillus",NA
"007f2738f882920803aab2320cbb613b",0,1,2,0.705787321098244,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005",NA
"5d052ba9a383d4ddbc6587181e858872",0,1,2,0.368275205170008,0.045,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Eubacterium]_oxidoreducens_group",NA
"0e6b48ffce8c52ae15a77ccd71ed5f31",0,1,2,0.592483142711408,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352",NA
"99495cded0f8a661cd6b934be5cb28a5",0,1,2,0.651060073392114,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Hydrogenoanaerobacterium",NA
"b3fd807c16765f35a7727e004b00e044",0,1,2,0.324176055334274,0.04,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Paludicola",NA
"7edbb21911ee6b1c3b3b8f52038bd71c",0,1,2,0.336010752516124,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea",NA
"e1fe724b4ea6ca6e7556fd032879f8c8",0,1,2,0.551849210443732,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Fournierella",NA
"42a8749495523917f1ff19114d6f374b",0,1,2,0.564740016269144,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NC2004_group",NA
"358440ea9bb7670ce23ed1715471dadd",0,1,2,0.311085508419128,0.045,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066755",NA
"949d11292146e12904547a6db61ce024",0,1,2,0.842790011155522,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__GCA-900066575",NA
"c9117f9042972b72f4c968e2bd1004d9",0,1,2,0.41283049925426,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_FCS020_group",NA
"85c1f3db8e31354fe6fa4cb71c665d54",0,1,2,0.385454106713576,0.025,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Faecalicatena",NA
"420aeb51a121a38c96fbb71c38a0b3ca",0,1,2,0.431834914505587,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia",NA
"ecc1703f33d45bb278ff591d247c9b68",0,1,2,0.405920895314563,0.035,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__CAG-56",NA
"76b77cd1d964a78d9301628e3164a3d1",0,1,2,0.562501826735295,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Howardella",NA
